development_name,building_number,address,reported_datetime,buildings,units,population
DOUGLASS II,"140 WEST 104TH ST, MN , ENTIRE BLDG",2020-01-24 00:00:00,In Progress
BORINQUEN PLAZA II,"155 SEIGEL ST, BK , C&D-LINES",2020-01-23 00:00:00,In Progress
OCEAN HILL APARTMENTS,"24 MOTHER GASTON BLVD, BK , F-LINE",2020-01-21 00:00:00,In Progress
FORT INDEPENDENCE STREET-HEATH AVENUE,"3340 BAILEY AVE, BX , B-LINE",2020-01-18 00:00:00,In Progress
PINK,"1257 LORING AVE, BK , C-LINE",2020-01-17 00:00:00,In Progress
SUMNER,"824 PARK AVE, BK , B&C-LINES",2020-01-16 00:00:00,In Progress
MELROSE,"305 EAST 153RD ST, BX , E-LINE",2020-01-16 00:00:00,In Progress
RED HOOK EAST,"774 HENRY ST, BK , F-LINE",2020-01-16 00:00:00,In Progress
FOREST,"730 EAST 166TH ST, BX , A-LINE",2020-01-13 00:00:00,In Progress
THROGGS NECK,"2793 DEWEY AVE, BX , A-LINE",2020-01-13 00:00:00,In Progress
VAN DYKE I,"410 SUTTER AVE, BK , ENTIRE BLDG",2020-01-09 00:00:00,In Progress
GRAVESEND,"2729 WEST 33RD ST, BK , ENTIRE BLDG",2020-01-09 00:00:00,In Progress
KINGSBOROUGH,"154 KINGSBOROUGH 1ST WALK, BK , F-LINE",2020-01-08 00:00:00,In Progress
SUMNER,"824 PARK AVE, BK , D-LINE",2020-01-08 00:00:00,In Progress
BROWNSVILLE,"295 OSBORN ST, BK , A-LINE",2020-01-03 00:00:00,In Progress
STERLING PLACE REHABS (STERLING-BUFFALO),"225 BUFFALO AVE, BK , A-LINE",2020-01-03 00:00:00,In Progress
STERLING PLACE REHABS (STERLING-BUFFALO),"1598 STERLING PL, BK , B-LINE",2020-01-03 00:00:00,In Progress
BAISLEY PARK,"116-80 GUY BREWER BLVD, QN , E-LINE",2020-01-02 00:00:00,In Progress
DREW-HAMILTON,"2698 F DOUGLASS BLVD, MN , A-LINE",2020-01-01 00:00:00,In Progress
CONEY ISLAND I (SITE 8),"2950 WEST 35TH ST, BK ,",2019-12-27 00:00:00,In Progress
EDENWALD,"1175 EAST 229TH ST, BX, 10466 , G-LINE",2019-12-18 00:00:00,In Progress
MITCHEL,"190 LINCOLN AVE, BX, 10454 , C-LINE",2019-12-14 00:00:00,In Progress
THROGGS NECK ADDITION,"680 BALCOM AVE, BX, 10465 , A-LINE",2019-12-10 00:00:00,In Progress
GARVEY (GROUP A),"10 AMBOY ST, BK, 11212 , B-LINE",2019-12-09 00:00:00,In Progress
JUSTICE SONIA SOTOMAYOR HOUSES,"1725 BRUCKNER BLVD, BX, 10472 , ENTIRE BLDG",2019-12-09 00:00:00,In Progress
CONEY ISLAND I (SITES 4 & 5),"2925 WEST 27TH ST, BK, 11224 , C-LINE",2019-12-06 00:00:00,In Progress
TAPSCOTT STREET REHAB,"192 TAPSCOTT ST, BK, 11212 , ENTIRE BLDG",2019-11-27 00:00:00,In Progress
CYPRESS HILLS,"335 FOUNTAIN AVE, BK, 11208 , A&G-LINES",2019-11-26 00:00:00,In Progress
CYPRESS HILLS,"365 FOUNTAIN AVE, BK, 11208 , ENTIRE BLDG",2019-11-26 00:00:00,In Progress
CYPRESS HILLS,"1260 SUTTER AVE, BK, 11208 , D&E-LINES",2019-11-25 00:00:00,In Progress
CYPRESS HILLS,"710 EUCLID AVENUE, BK, 11208 , F-LINE",2019-11-22 00:00:00,In Progress
JACKSON,"765 COURTLANDT AVE, BX, 10451 , H-LINE",2019-11-07 00:00:00,In Progress
TAPSCOTT STREET REHAB,"725 HOWARD AVE, BK, 11212 , A-LINE",2019-10-16 00:00:00,In Progress
GOMPERS,"100 PITT ST, MN, 10002 , ENTIRE DEVELOPMENT",2019-09-27 00:00:00,05/13/2020
SUTTER AVENUE-UNION STREET,"2045 UNION ST, BK, 11212 , ENTIRE BLDG",2019-09-24 00:00:00,In Progress
FENIMORE-LEFFERTS,"732 FENIMORE ST, BK, 11203 , B-LINE",2019-08-19 00:00:00,01/29/2020
SACKWERN,"1810 LAFAYETTE AVE, BX, 10473 , ENTIRE BLDG",2019-07-09 00:00:00,In Progress
SACKWERN,"1810 LAFAYETTE AVE, BX, 10473 , K-LINE",2019-04-24 00:00:00,In Progress
