development_name,building_number,address,interruptions,planned,reported_datetime,restoration_hours,buildings,units,population
ADAMS,2,"700 WESTCHESTER AVENUE BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,2020-01-26 08:22:00,2,1,124,296
ADAMS,7,"815 EAST 152ND STREET BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 16:49:00,43,1,143,402
BAISLEY PARK,1,"164-01 FOCH BOULEVARD QUEENS, NY 11434",Elevator NO SERVICE,Unplanned,2020-01-24 22:44:00,7,1,77,185
BARUCH,10,"105 BARUCH DRIVE NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,2020-01-25 14:22:00,4,1,67,149
BARUCH,2,"571 FDR DRIVE NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,2020-01-24 21:27:00,18,1,67,149
BARUCH HOUSES ADDITION,18,"72 COLUMBIA STREET NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 19:35:00,15,1,197,240
BEACH 41ST STREET-BEACH CHANNEL DRIVE,3,"38-08 BEACH CHANNEL DRIVE QUEENS, NY 11691",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:42:00,7,1,120,276
BORINQUEN PLAZA I,1,"30 MANHATTAN AVENUE BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,2020-01-25 09:23:00,4,1,51,165
BREUKELEN,27,"553 EAST 108TH STREET BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,2020-01-26 10:47:00,2,1,35,75
BREUKELEN,8,"719 EAST 103RD STREET BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,2020-01-25 12:52:00,3,1,35,72
BRONX RIVER,1,"1455 HARROD AVENUE BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:45:00,3,1,140,352
BROWNSVILLE,22,"350 BLAKE AVENUE BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,2020-01-26 08:42:00,2,1,54,108
BUSHWICK,7,"140 MOORE STREET BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 22:02:00,29,1,113,300
BUSHWICK,3,"849 FLUSHING AVENUE BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 13:08:00,7,1,194,390
CAMPOS PLAZA II,4,"612 EAST 14TH STREET NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 15:04:00,4,1,128,258
CAREY GARDENS,3,"2832 WEST 23RD STREET BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 16:45:00,44,1,214,510
CASTLE HILL,13,"2225 LACOMBE AVENUE BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 08:05:00,8,1,142,312
CASTLE HILL,9,"2245 RANDALL AVENUE BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 23:48:00,4,1,142,316
